"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
"Total"	"Alabama"	"01"	"2005"	"2005"					193	4565917	4.23
	"Alabama"	"01"	"2006"	"2006"	"Female"	"F"	"< 1 year"	"1"	0	29848	0.00
	"Alabama"	"01"	"2006"	"2006"	"Female"	"F"	"10-14 years"	"10-14"	0	157259	0.00
	"Alabama"	"01"	"2006"	"2006"	"Female"	"F"	"15-19 years"	"15-19"	0	164708	0.00
	"Alabama"	"01"	"2006"	"2006"	"Female"	"F"	"25-29 years"	"25-29"	0	153897	0.00
"Total"	"Alabama"	"01"	"2006"	"2006"	"Female"	"F"			93	2385480	3.90
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	"< 1 year"	"1"	0	30975	0.00
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	"1-4 years"	"1-4"	0	120467	0.00
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	"5-9 years"	"5-9"	0	155157	0.00
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	"10-14 years"	"10-14"	0	164608	0.00
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	"20-24 years"	"20-24"	0	163368	0.00
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	"25-29 years"	"25-29"	0	148916	0.00
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	"50-54 years"	"50-54"	17	156757	10.84
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	"55-59 years"	"55-59"	19	143669	13.22
"Total"	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"			105	2243501	4.68
"Total"	"Alabama"	"01"	"2006"	"2006"					198	4628981	4.28
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	"< 1 year"	"1"	0	30948	0.00
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	"15-19 years"	"15-19"	0	167011	0.00
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	"20-24 years"	"20-24"	0	163425	0.00
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	"25-29 years"	"25-29"	0	156497	0.00
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	"35-39 years"	"35-39"	0	159044	0.00
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	"70-74 years"	"70-74"	17	84612	20.09
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	"75-79 years"	"75-79"	17	71343	23.83
"Total"	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"			113	2407275	4.69
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"< 1 year"	"1"	0	31959	0.00
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"1-4 years"	"1-4"	0	121169	0.00
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"15-19 years"	"15-19"	0	174268	0.00
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"20-24 years"	"20-24"	0	163868	0.00
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"50-54 years"	"50-54"	16	161263	9.92
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"55-59 years"	"55-59"	19	143382	13.25
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"65-69 years"	"65-69"	19	88097	21.57
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"70-74 years"	"70-74"	18	68202	26.39
"Total"	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"			129	2265565	5.69
"Total"	"Alabama"	"01"	"2007"	"2007"					242	4672840	5.18
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	"< 1 year"	"1"	0	31542	0.00
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	"1-4 years"	"1-4"	0	118239	0.00
"Total"	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"			111	2430257	4.57
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	"< 1 year"	"1"	0	32274	0.00
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	"1-4 years"	"1-4"	0	122787	0.00
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	"65-69 years"	"65-69"	17	92099	18.46
"Total"	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"			136	2287949	5.94
"Total"	"Alabama"	"01"	"2008"	"2008"					247	4718206	5.24
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"< 1 year"	"1"	0	30462	0.00
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"1-4 years"	"1-4"	0	119487	0.00
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"5-9 years"	"5-9"	0	150719	0.00
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"20-24 years"	"20-24"	0	166287	0.00
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"25-29 years"	"25-29"	0	157961	0.00
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"70-74 years"	"70-74"	23	88061	26.12
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"75-79 years"	"75-79"	17	70326	24.17
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"80-84 years"	"80-84"	16	54967	29.11
"Total"	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"			120	2448159	4.90
	"Alabama"	"01"	"2009"	"2009"	"Male"	"M"	"< 1 year"	"1"	0	31331	0.00
	"Alabama"	"01"	"2009"	"2009"	"Male"	"M"	"10-14 years"	"10-14"	0	163165	0.00
	"Alabama"	"01"	"2009"	"2009"	"Male"	"M"	"55-59 years"	"55-59"	21	147180	14.27
	"Alabama"	"01"	"2009"	"2009"	"Male"	"M"	"60-64 years "	"60-64"	20	126713	15.78
	"Alabama"	"01"	"2009"	"2009"	"Male"	"M"	"65-69 years"	"65-69"	22	96029	22.91
	"Alabama"	"01"	"2009"	"2009"	"Male"	"M"	"80-84 years"	"80-84"	16	33316	48.02
"Total"	"Alabama"	"01"	"2009"	"2009"	"Male"	"M"			148	2309779	6.41
"Total"	"Alabama"	"01"	"2009"	"2009"					268	4757938	5.63
	"Alabama"	"01"	"2010"	"2010"	"Female"	"F"	"< 1 year"	"1"	0	29107	0.00
	"Alabama"	"01"	"2010"	"2010"	"Female"	"F"	"10-14 years"	"10-14"	0	156679	0.00
	"Alabama"	"01"	"2010"	"2010"	"Female"	"F"	"15-19 years"	"15-19"	0	167136	0.00
	"Alabama"	"01"	"2010"	"2010"	"Female"	"F"	"20-24 years"	"20-24"	0	169299	0.00
	"Alabama"	"01"	"2010"	"2010"	"Female"	"F"	"35-39 years"	"35-39"	0	156523	0.00
	"Alabama"	"01"	"2010"	"2010"	"Female"	"F"	"65-69 years"	"65-69"	18	112376	16.02
	"Alabama"	"01"	"2010"	"2010"	"Female"	"F"	"75-79 years"	"75-79"	16	70931	22.56
	"Alabama"	"01"	"2010"	"2010"	"Female"	"F"	"80-84 years"	"80-84"	17	55271	30.76
"Total"	"Alabama"	"01"	"2010"	"2010"	"Female"	"F"			126	2463321	5.12
	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	"< 1 year"	"1"	0	30140	0.00
	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	"10-14 years"	"10-14"	0	163812	0.00
	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	"15-19 years"	"15-19"	0	174264	0.00
	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	"50-54 years"	"50-54"	18	169077	10.65
	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	"55-59 years"	"55-59"	17	150845	11.27
	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	"60-64 years "	"60-64"	20	132800	15.06
	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	"65-69 years"	"65-69"	25	98401	25.41
	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	"70-74 years"	"70-74"	22	72560	30.32
"Total"	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"			148	2324760	6.37
"Total"	"Alabama"	"01"	"2010"	"2010"					274	4788081	5.72
	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"	"< 1 year"	"1"	0	28726	0.00
	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"	"10-14 years"	"10-14"	0	158181	0.00
	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"	"15-19 years"	"15-19"	0	162553	0.00
	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"	"25-29 years"	"25-29"	0	157122	0.00
	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"	"30-34 years"	"30-34"	0	154943	0.00
	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"	"55-59 years"	"55-59"	18	166954	10.78
	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"	"65-69 years"	"65-69"	16	114591	13.96
	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"	"70-74 years"	"70-74"	17	90411	18.80
"Total"	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"			114	2475112	4.61
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	"< 1 year"	"1"	0	30441	0.00
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	"1-4 years"	"1-4"	0	124198	0.00
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	"5-9 years"	"5-9"	0	155410	0.00
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	"25-29 years"	"25-29"	0	152758	0.00
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	"55-59 years"	"55-59"	21	154561	13.59
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	"60-64 years "	"60-64"	25	138473	18.05
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	"65-69 years"	"65-69"	21	100496	20.90
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	"70-74 years"	"70-74"	25	74159	33.71
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	"80-84 years"	"80-84"	16	34448	46.45
"Total"	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"			149	2337199	6.38
"Total"	"Alabama"	"01"	"2011"	"2011"					263	4812311	5.47
	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	"< 1 year"	"1"	0	28780	0.00
	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	"1-4 years"	"1-4"	0	117896	0.00
	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	"5-9 years"	"5-9"	0	149886	0.00
	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	"10-14 years"	"10-14"	0	158300	0.00
	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	"15-19 years"	"15-19"	0	160693	0.00
	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	"20-24 years"	"20-24"	0	178529	0.00
	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	"60-64 years "	"60-64"	16	151128	10.59
	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	"65-69 years"	"65-69"	16	123193	12.99
	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	"80-84 years"	"80-84"	17	55180	30.81
"Total"	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"			117	2487610	4.70
	"Alabama"	"01"	"2012"	"2012"	"Male"	"M"	"1-4 years"	"1-4"	0	123007	0.00
	"Alabama"	"01"	"2012"	"2012"	"Male"	"M"	"5-9 years"	"5-9"	0	156215	0.00
	"Alabama"	"01"	"2012"	"2012"	"Male"	"M"	"55-59 years"	"55-59"	30	158716	18.90
	"Alabama"	"01"	"2012"	"2012"	"Male"	"M"	"65-69 years"	"65-69"	25	108851	22.97
	"Alabama"	"01"	"2012"	"2012"	"Male"	"M"	"70-74 years"	"70-74"	20	76836	26.03
"Total"	"Alabama"	"01"	"2012"	"2012"	"Male"	"M"			149	2351853	6.34
"Total"	"Alabama"	"01"	"2012"	"2012"					266	4839463	5.50
	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"	"< 1 year"	"1"	0	28204	0.00
	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"	"1-4 years"	"1-4"	0	116442	0.00
	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"	"15-19 years"	"15-19"	0	161054	0.00
	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"	"25-29 years"	"25-29"	0	157762	0.00
	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"	"60-64 years "	"60-64"	25	152383	16.41
	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"	"70-74 years"	"70-74"	17	97090	17.51
	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"	"75-79 years"	"75-79"	16	73627	21.73
"Total"	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"			129	2498831	5.16
	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	"< 1 year"	"1"	0	29185	0.00
	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	"55-59 years"	"55-59"	23	161739	14.22
	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	"60-64 years "	"60-64"	21	138532	15.16
	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	"65-69 years"	"65-69"	26	113252	22.96
	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	"70-74 years"	"70-74"	17	80870	21.02
	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	"75-79 years"	"75-79"	18	55522	32.42
	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	"80-84 years"	"80-84"	17	35400	48.02
"Total"	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"			169	2365767	7.14
"Total"	"Alabama"	"01"	"2013"	"2013"					298	4864598	6.13
	"Alabama"	"01"	"2014"	"2014"	"Female"	"F"	"1-4 years"	"1-4"	0	115447	0.00
	"Alabama"	"01"	"2014"	"2014"	"Female"	"F"	"20-24 years"	"20-24"	0	178712	0.00
	"Alabama"	"01"	"2014"	"2014"	"Female"	"F"	"25-29 years"	"25-29"	0	159854	0.00
	"Alabama"	"01"	"2014"	"2014"	"Female"	"F"	"55-59 years"	"55-59"	17	174967	9.72
	"Alabama"	"01"	"2014"	"2014"	"Female"	"F"	"65-69 years"	"65-69"	17	133282	12.75
	"Alabama"	"01"	"2014"	"2014"	"Female"	"F"	"70-74 years"	"70-74"	17	100172	16.97
"Total"	"Alabama"	"01"	"2014"	"2014"	"Female"	"F"			129	2509291	5.14
	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	"5-9 years"	"5-9"	0	156581	0.00
	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	"10-14 years"	"10-14"	0	163260	0.00
	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	"20-24 years"	"20-24"	0	181820	0.00
	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	"25-29 years"	"25-29"	0	156207	0.00
	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	"55-59 years"	"55-59"	24	163564	14.67
	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	"60-64 years "	"60-64"	16	140937	11.35
	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	"65-69 years"	"65-69"	30	118220	25.38
	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	"70-74 years"	"70-74"	16	83780	19.10
	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	"75-79 years"	"75-79"	17	57036	29.81
"Total"	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"			161	2377579	6.77
"Total"	"Alabama"	"01"	"2014"	"2014"					290	4886870	5.93
	"Alabama"	"01"	"2015"	"2015"	"Female"	"F"	"< 1 year"	"1"	0	29072	0.00
	"Alabama"	"01"	"2015"	"2015"	"Female"	"F"	"10-14 years"	"10-14"	0	155156	0.00
	"Alabama"	"01"	"2015"	"2015"	"Female"	"F"	"65-69 years"	"65-69"	27	138857	19.44
	"Alabama"	"01"	"2015"	"2015"	"Female"	"F"	"85+ years"	"85+"	19	58289	32.60
"Total"	"Alabama"	"01"	"2015"	"2015"	"Female"	"F"			143	2518825	5.68
	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	"< 1 year"	"1"	0	30014	0.00
	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	"60-64 years "	"60-64"	24	144108	16.65
	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	"65-69 years"	"65-69"	19	123374	15.40
	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	"70-74 years"	"70-74"	27	86067	31.37
	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	"75-79 years"	"75-79"	16	58120	27.53
"Total"	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"			162	2389348	6.78
"Total"	"Alabama"	"01"	"2015"	"2015"					305	4908173	6.21
	"Alabama"	"01"	"2016"	"2016"	"Female"	"F"	"15-19 years"	"15-19"	0	164415	0.00
	"Alabama"	"01"	"2016"	"2016"	"Female"	"F"	"20-24 years"	"20-24"	0	169899	0.00
	"Alabama"	"01"	"2016"	"2016"	"Female"	"F"	"60-64 years "	"60-64"	17	162057	10.49
	"Alabama"	"01"	"2016"	"2016"	"Female"	"F"	"65-69 years"	"65-69"	17	144688	11.75
	"Alabama"	"01"	"2016"	"2016"	"Female"	"F"	"70-74 years"	"70-74"	21	104761	20.05
	"Alabama"	"01"	"2016"	"2016"	"Female"	"F"	"85+ years"	"85+"	17	59457	28.59
"Total"	"Alabama"	"01"	"2016"	"2016"	"Female"	"F"			136	2529744	5.38
	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	"< 1 year"	"1"	0	30026	0.00
	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	"15-19 years"	"15-19"	0	170155	0.00
	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	"50-54 years"	"50-54"	16	165687	9.66
	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	"55-59 years"	"55-59"	23	166667	13.80
	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	"60-64 years "	"60-64"	19	147520	12.88
	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	"65-69 years"	"65-69"	29	128698	22.53
	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	"70-74 years"	"70-74"	23	88035	26.13
	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	"75-79 years"	"75-79"	19	59642	31.86
"Total"	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"			175	2400746	7.29
"Total"	"Alabama"	"01"	"2016"	"2016"					311	4930490	6.31
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"20-24 years"	"20-24"	0	167368	0.00
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"30-34 years"	"30-34"	0	155846	0.00
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"60-64 years "	"60-64"	21	165796	12.67
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"65-69 years"	"65-69"	16	143921	11.12
"Total"	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"			120	2540935	4.72
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"< 1 year"	"1"	0	29718	0.00
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"15-19 years"	"15-19"	0	169933	0.00
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"25-29 years"	"25-29"	0	167309	0.00
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"60-64 years "	"60-64"	21	151343	13.88
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"65-69 years"	"65-69"	32	127445	25.11
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"70-74 years"	"70-74"	22	95463	23.05
"Total"	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"			152	2410917	6.30
"Total"	"Alabama"	"01"	"2017"	"2017"					272	4951852	5.49
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"< 1 year"	"1"	0	28374	0.00
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"10-14 years"	"10-14"	0	157755	0.00
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"65-69 years"	"65-69"	24	145428	16.50
