"Notes"	"States"	"States Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	"Age Groups"	"Age Groups Code"	Count	Population	Crude Rate
	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"	"< 1 year"	"1"	0	28726	0.00
	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"	"55-59 years"	"55-59"	18	166954	10.78
	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"	"60-64 years "	"60-64"	20	151846	13.17
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	"< 1 year"	"1"	0	30441	0.00
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	"55-59 years"	"55-59"	19	154561	12.29
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	"60-64 years "	"60-64"	22	138473	15.89
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	"65-69 years"	"65-69"	28	100496	27.86
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	"70-74 years"	"70-74"	20	74159	26.97
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	"80-84 years"	"80-84"	21	34448	60.96
	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	"< 1 year"	"1"	0	28780	0.00
	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	"60-64 years "	"60-64"	20	151128	13.23
	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	"65-69 years"	"65-69"	24	123193	19.48
	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	"80-84 years"	"80-84"	19	55180	34.43
	"Alabama"	"01"	"2012"	"2012"	"Male"	"M"	"50-54 years"	"50-54"	16	169892	9.42
	"Alabama"	"01"	"2012"	"2012"	"Male"	"M"	"55-59 years"	"55-59"	31	158716	19.53
	"Alabama"	"01"	"2012"	"2012"	"Male"	"M"	"60-64 years "	"60-64"	24	137543	17.45
	"Alabama"	"01"	"2012"	"2012"	"Male"	"M"	"65-69 years"	"65-69"	30	108851	27.56
	"Alabama"	"01"	"2012"	"2012"	"Male"	"M"	"70-74 years"	"70-74"	22	76836	28.63
	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"	"< 1 year"	"1"	0	28204	0.00
	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"	"55-59 years"	"55-59"	17	173753	9.78
	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"	"60-64 years "	"60-64"	17	152383	11.16
	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"	"65-69 years"	"65-69"	17	127684	13.31
	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	"55-59 years"	"55-59"	16	161739	9.89
	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	"60-64 years "	"60-64"	19	138532	13.72
	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	"65-69 years"	"65-69"	30	113252	26.49
	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	"75-79 years"	"75-79"	17	55522	30.62
	"Alabama"	"01"	"2014"	"2014"	"Female"	"F"	"65-69 years"	"65-69"	16	133282	12.00
	"Alabama"	"01"	"2014"	"2014"	"Female"	"F"	"70-74 years"	"70-74"	17	100172	16.97
	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	"55-59 years"	"55-59"	20	163564	12.23
	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	"60-64 years "	"60-64"	29	140937	20.58
	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	"70-74 years"	"70-74"	17	83780	20.29
	"Alabama"	"01"	"2015"	"2015"	"Female"	"F"	"< 1 year"	"1"	0	29072	0.00
	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	"< 1 year"	"1"	0	30014	0.00
	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	"50-54 years"	"50-54"	19	168885	11.25
	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	"55-59 years"	"55-59"	21	165644	12.68
	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	"60-64 years "	"60-64"	17	144108	11.80
	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	"65-69 years"	"65-69"	22	123374	17.83
	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	"70-74 years"	"70-74"	29	86067	33.69
	"Alabama"	"01"	"2016"	"2016"	"Female"	"F"	"60-64 years "	"60-64"	20	162057	12.34
	"Alabama"	"01"	"2016"	"2016"	"Female"	"F"	"65-69 years"	"65-69"	22	144688	15.21
	"Alabama"	"01"	"2016"	"2016"	"Female"	"F"	"70-74 years"	"70-74"	22	104761	21.00
	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	"20-24 years"	"20-24"	0	174638	0.00
	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	"55-59 years"	"55-59"	25	166667	15.00
	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	"60-64 years "	"60-64"	18	147520	12.20
	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	"65-69 years"	"65-69"	27	128698	20.98
	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	"70-74 years"	"70-74"	22	88035	24.99
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"60-64 years "	"60-64"	21	165796	12.67
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"65-69 years"	"65-69"	22	143921	15.29
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"55-59 years"	"55-59"	16	166594	9.60
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"60-64 years "	"60-64"	24	151343	15.86
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"65-69 years"	"65-69"	29	127445	22.75
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"70-74 years"	"70-74"	21	95463	22.00
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"75-79 years"	"75-79"	16	61875	25.86
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"< 1 year"	"1"	0	28374	0.00
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"60-64 years "	"60-64"	23	168695	13.63
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"65-69 years"	"65-69"	21	145428	14.44
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"70-74 years"	"70-74"	23	116943	19.67
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"75-79 years"	"75-79"	19	83523	22.75
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"80-84 years"	"80-84"	18	57946	31.06
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"< 1 year"	"1"	0	29826	0.00
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"50-54 years"	"50-54"	18	158326	11.37
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"55-59 years"	"55-59"	19	167098	11.37
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"60-64 years "	"60-64"	24	153993	15.59
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"65-69 years"	"65-69"	26	128319	20.26
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"70-74 years"	"70-74"	25	99545	25.11
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"75-79 years"	"75-79"	16	65125	24.57
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"< 1 year"	"1"	0	27693	0.00
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"60-64 years "	"60-64"	17	170257	9.98
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"65-69 years"	"65-69"	16	148465	10.78
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"70-74 years"	"70-74"	18	122359	14.71
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"75-79 years"	"75-79"	18	86196	20.88
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"< 1 year"	"1"	0	29063	0.00
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"50-54 years"	"50-54"	18	155628	11.57
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"55-59 years"	"55-59"	22	167785	13.11
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"60-64 years "	"60-64"	30	155993	19.23
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"65-69 years"	"65-69"	34	130749	26.00
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"75-79 years"	"75-79"	20	67637	29.57
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"55-59 years"	"55-59"	17	174926	9.72
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"60-64 years "	"60-64"	18	171831	10.48
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"65-69 years"	"65-69"	23	152218	15.11
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"70-74 years"	"70-74"	25	127768	19.57
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"75-79 years"	"75-79"	19	88556	21.46
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"80-84 years"	"80-84"	17	60560	28.07
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"55-59 years"	"55-59"	20	166463	12.01
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"60-64 years "	"60-64"	25	158102	15.81
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"65-69 years"	"65-69"	26	133788	19.43
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"70-74 years"	"70-74"	17	108610	15.65
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"75-79 years"	"75-79"	16	69529	23.01
	"Alabama"	"01"	"2021"	"2021"	"Female"	"F"	"50-54 years"	"50-54"	16	161463	9.91
	"Alabama"	"01"	"2021"	"2021"	"Female"	"F"	"65-69 years"	"65-69"	19	155074	12.25
	"Alabama"	"01"	"2021"	"2021"	"Female"	"F"	"70-74 years"	"70-74"	32	133221	24.02
	"Alabama"	"01"	"2021"	"2021"	"Female"	"F"	"75-79 years"	"75-79"	17	89857	18.92
	"Alabama"	"01"	"2021"	"2021"	"Male"	"M"	"< 1 year"	"1"	0	28870	0.00
	"Alabama"	"01"	"2021"	"2021"	"Male"	"M"	"50-54 years"	"50-54"	20	157313	12.71
	"Alabama"	"01"	"2021"	"2021"	"Male"	"M"	"55-59 years"	"55-59"	20	162742	12.29
	"Alabama"	"01"	"2021"	"2021"	"Male"	"M"	"60-64 years "	"60-64"	25	159073	15.72
	"Alabama"	"01"	"2021"	"2021"	"Male"	"M"	"70-74 years"	"70-74"	30	112316	26.71
	"Alaska"	"02"	"1999"	"1999"	"Female"	"F"	"< 1 year"	"1"	0	4427	0.00
	"Alaska"	"02"	"1999"	"1999"	"Female"	"F"	"10-14 years"	"10-14"	0	27178	0.00
	"Alaska"	"02"	"1999"	"1999"	"Female"	"F"	"15-19 years"	"15-19"	0	23567	0.00
	"Alaska"	"02"	"1999"	"1999"	"Female"	"F"	"25-29 years"	"25-29"	0	20053	0.00
	"Alaska"	"02"	"1999"	"1999"	"Female"	"F"	"45-49 years"	"45-49"	0	25028	0.00
	"Alaska"	"02"	"1999"	"1999"	"Female"	"F"	"80-84 years"	"80-84"	0	2061	0.00
	"Alaska"	"02"	"1999"	"1999"	"Female"	"F"	"85+ years"	"85+"	0	1627	0.00
	"Alaska"	"02"	"1999"	"1999"	"Male"	"M"	"< 1 year"	"1"	0	4838	0.00
	"Alaska"	"02"	"1999"	"1999"	"Male"	"M"	"1-4 years"	"1-4"	0	19756	0.00
	"Alaska"	"02"	"1999"	"1999"	"Male"	"M"	"10-14 years"	"10-14"	0	28699	0.00
	"Alaska"	"02"	"1999"	"1999"	"Male"	"M"	"15-19 years"	"15-19"	0	26165	0.00
	"Alaska"	"02"	"1999"	"1999"	"Male"	"M"	"20-24 years"	"20-24"	0	20966	0.00
	"Alaska"	"02"	"1999"	"1999"	"Male"	"M"	"25-29 years"	"25-29"	0	21634	0.00
	"Alaska"	"02"	"1999"	"1999"	"Male"	"M"	"45-49 years"	"45-49"	0	27512	0.00
	"Alaska"	"02"	"1999"	"1999"	"Male"	"M"	"65-69 years"	"65-69"	0	6150	0.00
	"Alaska"	"02"	"1999"	"1999"	"Male"	"M"	"80-84 years"	"80-84"	0	1466	0.00
	"Alaska"	"02"	"1999"	"1999"	"Male"	"M"	"85+ years"	"85+"	0	834	0.00
	"Alaska"	"02"	"2000"	"2000"	"Female"	"F"	"1-4 years"	"1-4"	0	18643	0.00
	"Alaska"	"02"	"2000"	"2000"	"Female"	"F"	"10-14 years"	"10-14"	0	27698	0.00
	"Alaska"	"02"	"2000"	"2000"	"Female"	"F"	"15-19 years"	"15-19"	0	23780	0.00
	"Alaska"	"02"	"2000"	"2000"	"Female"	"F"	"20-24 years"	"20-24"	0	18825	0.00
	"Alaska"	"02"	"2000"	"2000"	"Female"	"F"	"25-29 years"	"25-29"	0	20624	0.00
	"Alaska"	"02"	"2000"	"2000"	"Female"	"F"	"30-34 years"	"30-34"	0	22298	0.00
	"Alaska"	"02"	"2000"	"2000"	"Female"	"F"	"40-44 years"	"40-44"	0	28587	0.00
	"Alaska"	"02"	"2000"	"2000"	"Female"	"F"	"80-84 years"	"80-84"	0	2209	0.00
	"Alaska"	"02"	"2000"	"2000"	"Female"	"F"	"85+ years"	"85+"	0	1754	0.00
	"Alaska"	"02"	"2000"	"2000"	"Male"	"M"	"< 1 year"	"1"	0	4936	0.00
	"Alaska"	"02"	"2000"	"2000"	"Male"	"M"	"1-4 years"	"1-4"	0	19440	0.00
	"Alaska"	"02"	"2000"	"2000"	"Male"	"M"	"5-9 years"	"5-9"	0	27352	0.00
	"Alaska"	"02"	"2000"	"2000"	"Male"	"M"	"10-14 years"	"10-14"	0	29163	0.00
	"Alaska"	"02"	"2000"	"2000"	"Male"	"M"	"25-29 years"	"25-29"	0	21947	0.00
	"Alaska"	"02"	"2000"	"2000"	"Male"	"M"	"35-39 years"	"35-39"	0	28470	0.00
	"Alaska"	"02"	"2000"	"2000"	"Male"	"M"	"40-44 years"	"40-44"	0	29884	0.00
	"Alaska"	"02"	"2000"	"2000"	"Male"	"M"	"70-74 years"	"70-74"	0	4917	0.00
	"Alaska"	"02"	"2000"	"2000"	"Male"	"M"	"75-79 years"	"75-79"	0	3105	0.00
	"Alaska"	"02"	"2000"	"2000"	"Male"	"M"	"80-84 years"	"80-84"	0	1552	0.00
	"Alaska"	"02"	"2000"	"2000"	"Male"	"M"	"85+ years"	"85+"	0	912	0.00
	"Alaska"	"02"	"2001"	"2001"	"Female"	"F"	"< 1 year"	"1"	0	4696	0.00
	"Alaska"	"02"	"2001"	"2001"	"Female"	"F"	"1-4 years"	"1-4"	0	18147	0.00
	"Alaska"	"02"	"2001"	"2001"	"Female"	"F"	"5-9 years"	"5-9"	0	25029	0.00
	"Alaska"	"02"	"2001"	"2001"	"Female"	"F"	"10-14 years"	"10-14"	0	27875	0.00
	"Alaska"	"02"	"2001"	"2001"	"Female"	"F"	"15-19 years"	"15-19"	0	24621	0.00
	"Alaska"	"02"	"2001"	"2001"	"Female"	"F"	"25-29 years"	"25-29"	0	19809	0.00
	"Alaska"	"02"	"2001"	"2001"	"Female"	"F"	"35-39 years"	"35-39"	0	25783	0.00
	"Alaska"	"02"	"2001"	"2001"	"Female"	"F"	"60-64 years "	"60-64"	0	8668	0.00
	"Alaska"	"02"	"2001"	"2001"	"Female"	"F"	"75-79 years"	"75-79"	0	3975	0.00
	"Alaska"	"02"	"2001"	"2001"	"Female"	"F"	"80-84 years"	"80-84"	0	2373	0.00
	"Alaska"	"02"	"2001"	"2001"	"Female"	"F"	"85+ years"	"85+"	0	1900	0.00
	"Alaska"	"02"	"2001"	"2001"	"Male"	"M"	"< 1 year"	"1"	0	5130	0.00
	"Alaska"	"02"	"2001"	"2001"	"Male"	"M"	"1-4 years"	"1-4"	0	19203	0.00
	"Alaska"	"02"	"2001"	"2001"	"Male"	"M"	"10-14 years"	"10-14"	0	29202	0.00
	"Alaska"	"02"	"2001"	"2001"	"Male"	"M"	"25-29 years"	"25-29"	0	21339	0.00
	"Alaska"	"02"	"2001"	"2001"	"Male"	"M"	"30-34 years"	"30-34"	0	23680	0.00
	"Alaska"	"02"	"2001"	"2001"	"Male"	"M"	"35-39 years"	"35-39"	0	27200	0.00
	"Alaska"	"02"	"2001"	"2001"	"Male"	"M"	"50-54 years"	"50-54"	0	24223	0.00
	"Alaska"	"02"	"2002"	"2002"	"Female"	"F"	"< 1 year"	"1"	0	4748	0.00
	"Alaska"	"02"	"2002"	"2002"	"Female"	"F"	"10-14 years"	"10-14"	0	28037	0.00
	"Alaska"	"02"	"2002"	"2002"	"Female"	"F"	"15-19 years"	"15-19"	0	25215	0.00
	"Alaska"	"02"	"2002"	"2002"	"Female"	"F"	"35-39 years"	"35-39"	0	24696	0.00
	"Alaska"	"02"	"2002"	"2002"	"Female"	"F"	"45-49 years"	"45-49"	0	27345	0.00
	"Alaska"	"02"	"2002"	"2002"	"Female"	"F"	"50-54 years"	"50-54"	0	21372	0.00
	"Alaska"	"02"	"2002"	"2002"	"Female"	"F"	"60-64 years "	"60-64"	0	9395	0.00
	"Alaska"	"02"	"2002"	"2002"	"Female"	"F"	"65-69 years"	"65-69"	0	6687	0.00
	"Alaska"	"02"	"2002"	"2002"	"Female"	"F"	"75-79 years"	"75-79"	0	4060	0.00
	"Alaska"	"02"	"2002"	"2002"	"Female"	"F"	"80-84 years"	"80-84"	0	2568	0.00
	"Alaska"	"02"	"2002"	"2002"	"Female"	"F"	"85+ years"	"85+"	0	2003	0.00
	"Alaska"	"02"	"2002"	"2002"	"Male"	"M"	"< 1 year"	"1"	0	4947	0.00
	"Alaska"	"02"	"2002"	"2002"	"Male"	"M"	"20-24 years"	"20-24"	0	24615	0.00
	"Alaska"	"02"	"2002"	"2002"	"Male"	"M"	"75-79 years"	"75-79"	0	3383	0.00
	"Alaska"	"02"	"2002"	"2002"	"Male"	"M"	"80-84 years"	"80-84"	0	1757	0.00
	"Alaska"	"02"	"2002"	"2002"	"Male"	"M"	"85+ years"	"85+"	0	982	0.00
	"Alaska"	"02"	"2003"	"2003"	"Female"	"F"	"< 1 year"	"1"	0	4746	0.00
	"Alaska"	"02"	"2003"	"2003"	"Female"	"F"	"1-4 years"	"1-4"	0	18144	0.00
	"Alaska"	"02"	"2003"	"2003"	"Female"	"F"	"10-14 years"	"10-14"	0	27729	0.00
	"Alaska"	"02"	"2003"	"2003"	"Female"	"F"	"15-19 years"	"15-19"	0	25514	0.00
	"Alaska"	"02"	"2003"	"2003"	"Female"	"F"	"20-24 years"	"20-24"	0	21783	0.00
	"Alaska"	"02"	"2003"	"2003"	"Female"	"F"	"35-39 years"	"35-39"	0	23570	0.00
	"Alaska"	"02"	"2003"	"2003"	"Female"	"F"	"40-44 years"	"40-44"	0	27668	0.00
	"Alaska"	"02"	"2003"	"2003"	"Female"	"F"	"50-54 years"	"50-54"	0	22656	0.00
	"Alaska"	"02"	"2003"	"2003"	"Female"	"F"	"60-64 years "	"60-64"	0	10294	0.00
	"Alaska"	"02"	"2003"	"2003"	"Female"	"F"	"80-84 years"	"80-84"	0	2733	0.00
	"Alaska"	"02"	"2003"	"2003"	"Female"	"F"	"85+ years"	"85+"	0	2119	0.00
	"Alaska"	"02"	"2003"	"2003"	"Male"	"M"	"1-4 years"	"1-4"	0	19636	0.00
	"Alaska"	"02"	"2003"	"2003"	"Male"	"M"	"5-9 years"	"5-9"	0	24848	0.00
	"Alaska"	"02"	"2003"	"2003"	"Male"	"M"	"15-19 years"	"15-19"	0	28562	0.00
	"Alaska"	"02"	"2003"	"2003"	"Male"	"M"	"25-29 years"	"25-29"	0	21180	0.00
	"Alaska"	"02"	"2003"	"2003"	"Male"	"M"	"30-34 years"	"30-34"	0	23085	0.00
	"Alaska"	"02"	"2003"	"2003"	"Male"	"M"	"65-69 years"	"65-69"	0	7420	0.00
	"Alaska"	"02"	"2003"	"2003"	"Male"	"M"	"75-79 years"	"75-79"	0	3486	0.00
	"Alaska"	"02"	"2003"	"2003"	"Male"	"M"	"85+ years"	"85+"	0	1045	0.00
	"Alaska"	"02"	"2004"	"2004"	"Female"	"F"	"5-9 years"	"5-9"	0	23417	0.00
	"Alaska"	"02"	"2004"	"2004"	"Female"	"F"	"10-14 years"	"10-14"	0	27647	0.00
	"Alaska"	"02"	"2004"	"2004"	"Female"	"F"	"15-19 years"	"15-19"	0	25744	0.00
	"Alaska"	"02"	"2004"	"2004"	"Female"	"F"	"20-24 years"	"20-24"	0	22888	0.00
	"Alaska"	"02"	"2004"	"2004"	"Female"	"F"	"45-49 years"	"45-49"	0	27930	0.00
