"Notes"	"States"	"States Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	Count
	"Alaska"	"02"	"2019"	"2019"	"Male"	"M"	25
	"Alaska"	"02"	"2020"	"2020"	"Female"	"F"	20
	"Alaska"	"02"	"2020"	"2020"	"Male"	"M"	30
	"Alaska"	"02"	"2021"	"2021"	"Male"	"M"	31
	"Arizona"	"04"	"1999"	"1999"	"Female"	"F"	163
	"Arizona"	"04"	"1999"	"1999"	"Male"	"M"	183
	"Arizona"	"04"	"2000"	"2000"	"Female"	"F"	144
	"Arizona"	"04"	"2000"	"2000"	"Male"	"M"	181
	"Arizona"	"04"	"2001"	"2001"	"Female"	"F"	162
	"Arizona"	"04"	"2001"	"2001"	"Male"	"M"	175
	"Arizona"	"04"	"2002"	"2002"	"Female"	"F"	149
	"Arizona"	"04"	"2002"	"2002"	"Male"	"M"	211
	"Arizona"	"04"	"2003"	"2003"	"Female"	"F"	147
	"Arizona"	"04"	"2003"	"2003"	"Male"	"M"	188
	"Arizona"	"04"	"2004"	"2004"	"Female"	"F"	197
	"Arizona"	"04"	"2004"	"2004"	"Male"	"M"	212
	"Arizona"	"04"	"2005"	"2005"	"Female"	"F"	194
	"Arizona"	"04"	"2005"	"2005"	"Male"	"M"	220
	"Arizona"	"04"	"2006"	"2006"	"Female"	"F"	190
	"Arizona"	"04"	"2006"	"2006"	"Male"	"M"	247
	"Arizona"	"04"	"2007"	"2007"	"Female"	"F"	188
	"Arizona"	"04"	"2007"	"2007"	"Male"	"M"	238
	"Arizona"	"04"	"2008"	"2008"	"Female"	"F"	204
	"Arizona"	"04"	"2008"	"2008"	"Male"	"M"	256
	"Arizona"	"04"	"2009"	"2009"	"Female"	"F"	211
	"Arizona"	"04"	"2009"	"2009"	"Male"	"M"	251
	"Arizona"	"04"	"2010"	"2010"	"Female"	"F"	201
	"Arizona"	"04"	"2010"	"2010"	"Male"	"M"	265
	"Arizona"	"04"	"2011"	"2011"	"Female"	"F"	221
	"Arizona"	"04"	"2011"	"2011"	"Male"	"M"	244
	"Arizona"	"04"	"2012"	"2012"	"Female"	"F"	219
	"Arizona"	"04"	"2012"	"2012"	"Male"	"M"	253
	"Arizona"	"04"	"2013"	"2013"	"Female"	"F"	192
	"Arizona"	"04"	"2013"	"2013"	"Male"	"M"	265
	"Arizona"	"04"	"2014"	"2014"	"Female"	"F"	220
	"Arizona"	"04"	"2014"	"2014"	"Male"	"M"	259
	"Arizona"	"04"	"2015"	"2015"	"Female"	"F"	202
	"Arizona"	"04"	"2015"	"2015"	"Male"	"M"	246
	"Arizona"	"04"	"2016"	"2016"	"Female"	"F"	194
	"Arizona"	"04"	"2016"	"2016"	"Male"	"M"	276
	"Arizona"	"04"	"2017"	"2017"	"Female"	"F"	201
	"Arizona"	"04"	"2017"	"2017"	"Male"	"M"	264
	"Arizona"	"04"	"2018"	"2018"	"Female"	"F"	208
	"Arizona"	"04"	"2018"	"2018"	"Male"	"M"	269
	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	230
	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	294
	"Arizona"	"04"	"2020"	"2020"	"Female"	"F"	214
	"Arizona"	"04"	"2020"	"2020"	"Male"	"M"	312
	"Arizona"	"04"	"2021"	"2021"	"Female"	"F"	209
	"Arizona"	"04"	"2021"	"2021"	"Male"	"M"	284
	"Arkansas"	"05"	"1999"	"1999"	"Female"	"F"	76
	"Arkansas"	"05"	"1999"	"1999"	"Male"	"M"	96
	"Arkansas"	"05"	"2000"	"2000"	"Female"	"F"	92
	"Arkansas"	"05"	"2000"	"2000"	"Male"	"M"	104
	"Arkansas"	"05"	"2001"	"2001"	"Female"	"F"	76
	"Arkansas"	"05"	"2001"	"2001"	"Male"	"M"	75
	"Arkansas"	"05"	"2002"	"2002"	"Female"	"F"	64
	"Arkansas"	"05"	"2002"	"2002"	"Male"	"M"	86
	"Arkansas"	"05"	"2003"	"2003"	"Female"	"F"	82
	"Arkansas"	"05"	"2003"	"2003"	"Male"	"M"	103
	"Arkansas"	"05"	"2004"	"2004"	"Female"	"F"	72
	"Arkansas"	"05"	"2004"	"2004"	"Male"	"M"	111
	"Arkansas"	"05"	"2005"	"2005"	"Female"	"F"	97
	"Arkansas"	"05"	"2005"	"2005"	"Male"	"M"	92
	"Arkansas"	"05"	"2006"	"2006"	"Female"	"F"	85
	"Arkansas"	"05"	"2006"	"2006"	"Male"	"M"	119
	"Arkansas"	"05"	"2007"	"2007"	"Female"	"F"	116
	"Arkansas"	"05"	"2007"	"2007"	"Male"	"M"	108
	"Arkansas"	"05"	"2008"	"2008"	"Female"	"F"	98
	"Arkansas"	"05"	"2008"	"2008"	"Male"	"M"	105
	"Arkansas"	"05"	"2009"	"2009"	"Female"	"F"	96
	"Arkansas"	"05"	"2009"	"2009"	"Male"	"M"	108
	"Arkansas"	"05"	"2010"	"2010"	"Female"	"F"	97
	"Arkansas"	"05"	"2010"	"2010"	"Male"	"M"	111
	"Arkansas"	"05"	"2011"	"2011"	"Female"	"F"	85
	"Arkansas"	"05"	"2011"	"2011"	"Male"	"M"	115
	"Arkansas"	"05"	"2012"	"2012"	"Female"	"F"	104
	"Arkansas"	"05"	"2012"	"2012"	"Male"	"M"	113
	"Arkansas"	"05"	"2013"	"2013"	"Female"	"F"	98
	"Arkansas"	"05"	"2013"	"2013"	"Male"	"M"	131
	"Arkansas"	"05"	"2014"	"2014"	"Female"	"F"	122
	"Arkansas"	"05"	"2014"	"2014"	"Male"	"M"	131
	"Arkansas"	"05"	"2015"	"2015"	"Female"	"F"	89
	"Arkansas"	"05"	"2015"	"2015"	"Male"	"M"	120
	"Arkansas"	"05"	"2016"	"2016"	"Female"	"F"	85
	"Arkansas"	"05"	"2016"	"2016"	"Male"	"M"	134
	"Arkansas"	"05"	"2017"	"2017"	"Female"	"F"	96
	"Arkansas"	"05"	"2017"	"2017"	"Male"	"M"	116
	"Arkansas"	"05"	"2018"	"2018"	"Female"	"F"	112
	"Arkansas"	"05"	"2018"	"2018"	"Male"	"M"	121
	"Arkansas"	"05"	"2019"	"2019"	"Female"	"F"	93
	"Arkansas"	"05"	"2019"	"2019"	"Male"	"M"	122
	"Arkansas"	"05"	"2020"	"2020"	"Female"	"F"	114
	"Arkansas"	"05"	"2020"	"2020"	"Male"	"M"	130
	"Arkansas"	"05"	"2021"	"2021"	"Female"	"F"	99
	"Arkansas"	"05"	"2021"	"2021"	"Male"	"M"	126
	"California"	"06"	"1999"	"1999"	"Female"	"F"	895
	"California"	"06"	"1999"	"1999"	"Male"	"M"	1155
	"California"	"06"	"2000"	"2000"	"Female"	"F"	864
	"California"	"06"	"2000"	"2000"	"Male"	"M"	1097
	"California"	"06"	"2001"	"2001"	"Female"	"F"	903
	"California"	"06"	"2001"	"2001"	"Male"	"M"	1098
	"California"	"06"	"2002"	"2002"	"Female"	"F"	936
	"California"	"06"	"2002"	"2002"	"Male"	"M"	1173
	"California"	"06"	"2003"	"2003"	"Female"	"F"	978
	"California"	"06"	"2003"	"2003"	"Male"	"M"	1190
	"California"	"06"	"2004"	"2004"	"Female"	"F"	916
	"California"	"06"	"2004"	"2004"	"Male"	"M"	1233
	"California"	"06"	"2005"	"2005"	"Female"	"F"	977
	"California"	"06"	"2005"	"2005"	"Male"	"M"	1177
	"California"	"06"	"2006"	"2006"	"Female"	"F"	919
	"California"	"06"	"2006"	"2006"	"Male"	"M"	1177
	"California"	"06"	"2007"	"2007"	"Female"	"F"	975
	"California"	"06"	"2007"	"2007"	"Male"	"M"	1265
	"California"	"06"	"2008"	"2008"	"Female"	"F"	946
	"California"	"06"	"2008"	"2008"	"Male"	"M"	1284
	"California"	"06"	"2009"	"2009"	"Female"	"F"	1015
	"California"	"06"	"2009"	"2009"	"Male"	"M"	1295
	"California"	"06"	"2010"	"2010"	"Female"	"F"	1040
	"California"	"06"	"2010"	"2010"	"Male"	"M"	1276
	"California"	"06"	"2011"	"2011"	"Female"	"F"	993
	"California"	"06"	"2011"	"2011"	"Male"	"M"	1283
	"California"	"06"	"2012"	"2012"	"Female"	"F"	987
	"California"	"06"	"2012"	"2012"	"Male"	"M"	1337
	"California"	"06"	"2013"	"2013"	"Female"	"F"	1076
	"California"	"06"	"2013"	"2013"	"Male"	"M"	1364
	"California"	"06"	"2014"	"2014"	"Female"	"F"	1044
	"California"	"06"	"2014"	"2014"	"Male"	"M"	1390
	"California"	"06"	"2015"	"2015"	"Female"	"F"	1152
	"California"	"06"	"2015"	"2015"	"Male"	"M"	1312
	"California"	"06"	"2016"	"2016"	"Female"	"F"	1026
	"California"	"06"	"2016"	"2016"	"Male"	"M"	1386
	"California"	"06"	"2017"	"2017"	"Female"	"F"	1043
	"California"	"06"	"2017"	"2017"	"Male"	"M"	1449
	"California"	"06"	"2018"	"2018"	"Female"	"F"	1023
	"California"	"06"	"2018"	"2018"	"Male"	"M"	1432
	"California"	"06"	"2019"	"2019"	"Female"	"F"	1056
	"California"	"06"	"2019"	"2019"	"Male"	"M"	1394
	"California"	"06"	"2020"	"2020"	"Female"	"F"	1037
	"California"	"06"	"2020"	"2020"	"Male"	"M"	1451
	"California"	"06"	"2021"	"2021"	"Female"	"F"	1066
	"California"	"06"	"2021"	"2021"	"Male"	"M"	1367
	"Colorado"	"08"	"1999"	"1999"	"Female"	"F"	111
	"Colorado"	"08"	"1999"	"1999"	"Male"	"M"	153
	"Colorado"	"08"	"2000"	"2000"	"Female"	"F"	120
	"Colorado"	"08"	"2000"	"2000"	"Male"	"M"	155
	"Colorado"	"08"	"2001"	"2001"	"Female"	"F"	130
	"Colorado"	"08"	"2001"	"2001"	"Male"	"M"	178
	"Colorado"	"08"	"2002"	"2002"	"Female"	"F"	121
	"Colorado"	"08"	"2002"	"2002"	"Male"	"M"	158
	"Colorado"	"08"	"2003"	"2003"	"Female"	"F"	129
	"Colorado"	"08"	"2003"	"2003"	"Male"	"M"	147
	"Colorado"	"08"	"2004"	"2004"	"Female"	"F"	137
	"Colorado"	"08"	"2004"	"2004"	"Male"	"M"	161
	"Colorado"	"08"	"2005"	"2005"	"Female"	"F"	146
	"Colorado"	"08"	"2005"	"2005"	"Male"	"M"	176
	"Colorado"	"08"	"2006"	"2006"	"Female"	"F"	156
	"Colorado"	"08"	"2006"	"2006"	"Male"	"M"	158
	"Colorado"	"08"	"2007"	"2007"	"Female"	"F"	133
	"Colorado"	"08"	"2007"	"2007"	"Male"	"M"	181
	"Colorado"	"08"	"2008"	"2008"	"Female"	"F"	157
	"Colorado"	"08"	"2008"	"2008"	"Male"	"M"	185
	"Colorado"	"08"	"2009"	"2009"	"Female"	"F"	161
	"Colorado"	"08"	"2009"	"2009"	"Male"	"M"	205
	"Colorado"	"08"	"2010"	"2010"	"Female"	"F"	146
	"Colorado"	"08"	"2010"	"2010"	"Male"	"M"	191
	"Colorado"	"08"	"2011"	"2011"	"Female"	"F"	145
	"Colorado"	"08"	"2011"	"2011"	"Male"	"M"	206
	"Colorado"	"08"	"2012"	"2012"	"Female"	"F"	149
	"Colorado"	"08"	"2012"	"2012"	"Male"	"M"	194
	"Colorado"	"08"	"2013"	"2013"	"Female"	"F"	147
	"Colorado"	"08"	"2013"	"2013"	"Male"	"M"	175
	"Colorado"	"08"	"2014"	"2014"	"Female"	"F"	171
	"Colorado"	"08"	"2014"	"2014"	"Male"	"M"	211
	"Colorado"	"08"	"2015"	"2015"	"Female"	"F"	148
	"Colorado"	"08"	"2015"	"2015"	"Male"	"M"	244
	"Colorado"	"08"	"2016"	"2016"	"Female"	"F"	159
	"Colorado"	"08"	"2016"	"2016"	"Male"	"M"	193
	"Colorado"	"08"	"2017"	"2017"	"Female"	"F"	187
	"Colorado"	"08"	"2017"	"2017"	"Male"	"M"	222
	"Colorado"	"08"	"2018"	"2018"	"Female"	"F"	169
	"Colorado"	"08"	"2018"	"2018"	"Male"	"M"	204
	"Colorado"	"08"	"2019"	"2019"	"Female"	"F"	162
	"Colorado"	"08"	"2019"	"2019"	"Male"	"M"	207
	"Colorado"	"08"	"2020"	"2020"	"Female"	"F"	174
	"Colorado"	"08"	"2020"	"2020"	"Male"	"M"	240
	"Colorado"	"08"	"2021"	"2021"	"Female"	"F"	153
	"Colorado"	"08"	"2021"	"2021"	"Male"	"M"	205
	"Connecticut"	"09"	"1999"	"1999"	"Female"	"F"	112
	"Connecticut"	"09"	"1999"	"1999"	"Male"	"M"	142
	"Connecticut"	"09"	"2000"	"2000"	"Female"	"F"	124
	"Connecticut"	"09"	"2000"	"2000"	"Male"	"M"	169
	"Connecticut"	"09"	"2001"	"2001"	"Female"	"F"	133
	"Connecticut"	"09"	"2001"	"2001"	"Male"	"M"	137
	"Connecticut"	"09"	"2002"	"2002"	"Female"	"F"	98
	"Connecticut"	"09"	"2002"	"2002"	"Male"	"M"	151
	"Connecticut"	"09"	"2003"	"2003"	"Female"	"F"	129
	"Connecticut"	"09"	"2003"	"2003"	"Male"	"M"	143
	"Connecticut"	"09"	"2004"	"2004"	"Female"	"F"	121
	"Connecticut"	"09"	"2004"	"2004"	"Male"	"M"	152
	"Connecticut"	"09"	"2005"	"2005"	"Female"	"F"	130
	"Connecticut"	"09"	"2005"	"2005"	"Male"	"M"	134
	"Connecticut"	"09"	"2006"	"2006"	"Female"	"F"	127
	"Connecticut"	"09"	"2006"	"2006"	"Male"	"M"	137
	"Connecticut"	"09"	"2007"	"2007"	"Female"	"F"	115
	"Connecticut"	"09"	"2007"	"2007"	"Male"	"M"	139
	"Connecticut"	"09"	"2008"	"2008"	"Female"	"F"	118
	"Connecticut"	"09"	"2008"	"2008"	"Male"	"M"	167
	"Connecticut"	"09"	"2009"	"2009"	"Female"	"F"	133
	"Connecticut"	"09"	"2009"	"2009"	"Male"	"M"	156
	"Connecticut"	"09"	"2010"	"2010"	"Female"	"F"	128
	"Connecticut"	"09"	"2010"	"2010"	"Male"	"M"	149
	"Connecticut"	"09"	"2011"	"2011"	"Female"	"F"	129
	"Connecticut"	"09"	"2011"	"2011"	"Male"	"M"	158
	"Connecticut"	"09"	"2012"	"2012"	"Female"	"F"	116
	"Connecticut"	"09"	"2012"	"2012"	"Male"	"M"	146
	"Connecticut"	"09"	"2013"	"2013"	"Female"	"F"	138
	"Connecticut"	"09"	"2013"	"2013"	"Male"	"M"	170
	"Connecticut"	"09"	"2014"	"2014"	"Female"	"F"	96
	"Connecticut"	"09"	"2014"	"2014"	"Male"	"M"	146
	"Connecticut"	"09"	"2015"	"2015"	"Female"	"F"	126
	"Connecticut"	"09"	"2015"	"2015"	"Male"	"M"	178
	"Connecticut"	"09"	"2016"	"2016"	"Female"	"F"	139
	"Connecticut"	"09"	"2016"	"2016"	"Male"	"M"	150
	"Connecticut"	"09"	"2017"	"2017"	"Female"	"F"	129
	"Connecticut"	"09"	"2017"	"2017"	"Male"	"M"	157
	"Connecticut"	"09"	"2018"	"2018"	"Female"	"F"	152
	"Connecticut"	"09"	"2018"	"2018"	"Male"	"M"	170
	"Connecticut"	"09"	"2019"	"2019"	"Female"	"F"	136
	"Connecticut"	"09"	"2019"	"2019"	"Male"	"M"	150
	"Connecticut"	"09"	"2020"	"2020"	"Female"	"F"	120
	"Connecticut"	"09"	"2020"	"2020"	"Male"	"M"	184
	"Connecticut"	"09"	"2021"	"2021"	"Female"	"F"	122
	"Connecticut"	"09"	"2021"	"2021"	"Male"	"M"	163
	"Delaware"	"10"	"1999"	"1999"	"Female"	"F"	33
	"Delaware"	"10"	"1999"	"1999"	"Male"	"M"	26
	"Delaware"	"10"	"2000"	"2000"	"Female"	"F"	24
	"Delaware"	"10"	"2000"	"2000"	"Male"	"M"	24
	"Delaware"	"10"	"2001"	"2001"	"Female"	"F"	28
	"Delaware"	"10"	"2001"	"2001"	"Male"	"M"	40
	"Delaware"	"10"	"2002"	"2002"	"Female"	"F"	25
	"Delaware"	"10"	"2002"	"2002"	"Male"	"M"	25
	"Delaware"	"10"	"2003"	"2003"	"Female"	"F"	19
	"Delaware"	"10"	"2003"	"2003"	"Male"	"M"	24
	"Delaware"	"10"	"2004"	"2004"	"Female"	"F"	29
	"Delaware"	"10"	"2004"	"2004"	"Male"	"M"	40
	"Delaware"	"10"	"2005"	"2005"	"Female"	"F"	27
	"Delaware"	"10"	"2005"	"2005"	"Male"	"M"	42
	"Delaware"	"10"	"2006"	"2006"	"Female"	"F"	26
	"Delaware"	"10"	"2006"	"2006"	"Male"	"M"	40
	"Delaware"	"10"	"2007"	"2007"	"Female"	"F"	30
	"Delaware"	"10"	"2007"	"2007"	"Male"	"M"	33
	"Delaware"	"10"	"2008"	"2008"	"Female"	"F"	31
	"Delaware"	"10"	"2008"	"2008"	"Male"	"M"	45
	"Delaware"	"10"	"2009"	"2009"	"Female"	"F"	32
	"Delaware"	"10"	"2009"	"2009"	"Male"	"M"	36
	"Delaware"	"10"	"2010"	"2010"	"Female"	"F"	29
	"Delaware"	"10"	"2010"	"2010"	"Male"	"M"	31
	"Delaware"	"10"	"2011"	"2011"	"Female"	"F"	35
	"Delaware"	"10"	"2011"	"2011"	"Male"	"M"	34
	"Delaware"	"10"	"2012"	"2012"	"Female"	"F"	38
	"Delaware"	"10"	"2012"	"2012"	"Male"	"M"	29
	"Delaware"	"10"	"2013"	"2013"	"Female"	"F"	34
	"Delaware"	"10"	"2013"	"2013"	"Male"	"M"	34
	"Delaware"	"10"	"2014"	"2014"	"Female"	"F"	40
	"Delaware"	"10"	"2014"	"2014"	"Male"	"M"	27
	"Delaware"	"10"	"2015"	"2015"	"Female"	"F"	23
	"Delaware"	"10"	"2015"	"2015"	"Male"	"M"	37
	"Delaware"	"10"	"2016"	"2016"	"Female"	"F"	31
	"Delaware"	"10"	"2016"	"2016"	"Male"	"M"	47
	"Delaware"	"10"	"2017"	"2017"	"Female"	"F"	36
	"Delaware"	"10"	"2017"	"2017"	"Male"	"M"	42
	"Delaware"	"10"	"2018"	"2018"	"Female"	"F"	36
	"Delaware"	"10"	"2018"	"2018"	"Male"	"M"	38
	"Delaware"	"10"	"2019"	"2019"	"Female"	"F"	34
	"Delaware"	"10"	"2019"	"2019"	"Male"	"M"	29
	"Delaware"	"10"	"2020"	"2020"	"Female"	"F"	34
	"Delaware"	"10"	"2020"	"2020"	"Male"	"M"	49
	"Delaware"	"10"	"2021"	"2021"	"Female"	"F"	43
	"Delaware"	"10"	"2021"	"2021"	"Male"	"M"	32
	"District of Columbia"	"11"	"1999"	"1999"	"Male"	"M"	22
	"District of Columbia"	"11"	"2001"	"2001"	"Male"	"M"	19
	"District of Columbia"	"11"	"2004"	"2004"	"Male"	"M"	18
	"District of Columbia"	"11"	"2005"	"2005"	"Female"	"F"	21
	"District of Columbia"	"11"	"2006"	"2006"	"Male"	"M"	19
	"District of Columbia"	"11"	"2007"	"2007"	"Male"	"M"	21
	"District of Columbia"	"11"	"2008"	"2008"	"Female"	"F"	17
	"District of Columbia"	"11"	"2008"	"2008"	"Male"	"M"	22
	"District of Columbia"	"11"	"2009"	"2009"	"Female"	"F"	18
	"District of Columbia"	"11"	"2009"	"2009"	"Male"	"M"	16
	"District of Columbia"	"11"	"2010"	"2010"	"Female"	"F"	19
	"District of Columbia"	"11"	"2010"	"2010"	"Male"	"M"	16
	"District of Columbia"	"11"	"2011"	"2011"	"Male"	"M"	19
	"District of Columbia"	"11"	"2012"	"2012"	"Female"	"F"	16
	"District of Columbia"	"11"	"2012"	"2012"	"Male"	"M"	18
	"District of Columbia"	"11"	"2013"	"2013"	"Female"	"F"	16
	"District of Columbia"	"11"	"2013"	"2013"	"Male"	"M"	26
	"District of Columbia"	"11"	"2014"	"2014"	"Female"	"F"	17
	"District of Columbia"	"11"	"2014"	"2014"	"Male"	"M"	19
	"District of Columbia"	"11"	"2016"	"2016"	"Male"	"M"	22
	"District of Columbia"	"11"	"2018"	"2018"	"Female"	"F"	18
	"District of Columbia"	"11"	"2018"	"2018"	"Male"	"M"	21
	"District of Columbia"	"11"	"2019"	"2019"	"Female"	"F"	16
	"District of Columbia"	"11"	"2019"	"2019"	"Male"	"M"	23
	"District of Columbia"	"11"	"2020"	"2020"	"Female"	"F"	19
	"District of Columbia"	"11"	"2020"	"2020"	"Male"	"M"	20
	"District of Columbia"	"11"	"2021"	"2021"	"Male"	"M"	23
	"Florida"	"12"	"1999"	"1999"	"Female"	"F"	559
	"Florida"	"12"	"1999"	"1999"	"Male"	"M"	672
	"Florida"	"12"	"2000"	"2000"	"Female"	"F"	614
	"Florida"	"12"	"2000"	"2000"	"Male"	"M"	757
	"Florida"	"12"	"2001"	"2001"	"Female"	"F"	588
	"Florida"	"12"	"2001"	"2001"	"Male"	"M"	700
	"Florida"	"12"	"2002"	"2002"	"Female"	"F"	629
	"Florida"	"12"	"2002"	"2002"	"Male"	"M"	720
	"Florida"	"12"	"2003"	"2003"	"Female"	"F"	574
	"Florida"	"12"	"2003"	"2003"	"Male"	"M"	761
	"Florida"	"12"	"2004"	"2004"	"Female"	"F"	635
	"Florida"	"12"	"2004"	"2004"	"Male"	"M"	784
	"Florida"	"12"	"2005"	"2005"	"Female"	"F"	641
	"Florida"	"12"	"2005"	"2005"	"Male"	"M"	835
	"Florida"	"12"	"2006"	"2006"	"Female"	"F"	629
	"Florida"	"12"	"2006"	"2006"	"Male"	"M"	766
	"Florida"	"12"	"2007"	"2007"	"Female"	"F"	644
	"Florida"	"12"	"2007"	"2007"	"Male"	"M"	790
	"Florida"	"12"	"2008"	"2008"	"Female"	"F"	643
	"Florida"	"12"	"2008"	"2008"	"Male"	"M"	779
	"Florida"	"12"	"2009"	"2009"	"Female"	"F"	687
	"Florida"	"12"	"2009"	"2009"	"Male"	"M"	823
	"Florida"	"12"	"2010"	"2010"	"Female"	"F"	663
	"Florida"	"12"	"2010"	"2010"	"Male"	"M"	846
	"Florida"	"12"	"2011"	"2011"	"Female"	"F"	646
	"Florida"	"12"	"2011"	"2011"	"Male"	"M"	841
	"Florida"	"12"	"2012"	"2012"	"Female"	"F"	678
	"Florida"	"12"	"2012"	"2012"	"Male"	"M"	798
	"Florida"	"12"	"2013"	"2013"	"Female"	"F"	715
	"Florida"	"12"	"2013"	"2013"	"Male"	"M"	865
	"Florida"	"12"	"2014"	"2014"	"Female"	"F"	659
	"Florida"	"12"	"2014"	"2014"	"Male"	"M"	889
	"Florida"	"12"	"2015"	"2015"	"Female"	"F"	718
	"Florida"	"12"	"2015"	"2015"	"Male"	"M"	915
	"Florida"	"12"	"2016"	"2016"	"Female"	"F"	745
	"Florida"	"12"	"2016"	"2016"	"Male"	"M"	898
